2024-10-17 14:48:11, localhost, admin, Conectando al robot, Exitoso
2024-10-18 13:18:52, localhost, admin, Conectando al robot, Exitoso
2024-10-18 13:19:23, localhost, admin, Desconectando al robot, Exitoso
2024-10-18 13:19:52, localhost, admin, Conectando al robot, Exitoso
2024-10-18 13:19:54, localhost, admin, Desconectando al robot, Exitoso
2024-10-18 16:07:35, localhost, admin, Conectando al robot, Exitoso
2024-10-18 16:07:54, localhost, admin, Activando motores, Exitoso
2024-10-18 16:12:04, localhost, admin, Conectando al robot, Exitoso
2024-10-18 16:12:16, localhost, admin, Activando motores, Exitoso
2024-10-18 16:16:12, localhost, admin, Conectando al robot, Exitoso
2024-10-18 16:16:13, localhost, admin, Activando motores, Exitoso
2024-10-18 16:16:25, localhost, admin, Movimiento a (1,3,4) con velocidad 5.0, Exitoso
2024-10-18 16:18:03, localhost, admin, Efector activado, Exitoso
2024-10-18 16:18:18, localhost, admin, Movimiento a (4,6,5) con velocidad 2.0, Exitoso
2024-10-18 16:18:24, localhost, admin, Efector desactivado, Exitoso
2024-10-18 16:18:24, localhost, admin,  Homing, Exitoso
2024-10-18 16:18:49, localhost, admin, Modo cambiado a automÃ¡tico, Exitoso
2024-10-20 19:56:22, localhost, admin, Conectando al robot, Exitoso
2024-10-20 19:56:35, localhost, admin, Activando motores, Exitoso
2024-10-20 19:58:10, localhost, admin, Conectando al robot, Exitoso
2024-10-20 19:58:11, localhost, admin, Activando motores, Exitoso
2024-10-20 20:02:45, localhost, admin, Conectando al robot, Exitoso
2024-10-20 20:02:46, localhost, admin, Activando motores, Exitoso
2024-10-20 20:03:27, localhost, admin, Conectando al robot, Exitoso
2024-10-20 20:03:28, localhost, admin, Activando motores, Exitoso
2024-10-20 20:03:39, localhost, admin, Efector activado, Exitoso
2024-10-20 20:05:04, localhost, admin, Conectando al robot, Exitoso
2024-10-20 20:05:05, localhost, admin, Activando motores, Exitoso
2024-10-20 20:05:18, localhost, admin, Efector activado, Exitoso
2024-10-20 20:05:26, localhost, admin, Efector desactivado, Exitoso
2024-10-20 20:05:36, localhost, admin, Movimiento a (1,2,3) con velocidad 2.0, Exitoso
2024-10-20 20:33:46, localhost, admin, Conectando al robot, Exitoso
2024-10-20 20:33:59, localhost, admin, Activando motores, Exitoso
2024-10-20 20:34:02, localhost, admin, Efector desactivado, Exitoso
2024-10-20 20:34:02, localhost, admin,  Homing, Exitoso
2024-10-20 20:34:15, localhost, admin, Efector desactivado, Exitoso
2024-10-20 20:34:19, localhost, admin, Efector activado, Exitoso
2024-10-20 20:34:23, localhost, admin, Desactivado motores, Exitoso
2024-10-20 20:35:23, localhost, admin, Conectando al robot, Exitoso
2024-10-20 20:35:29, localhost, admin, Activando motores, Exitoso
2024-10-20 20:35:34, localhost, admin, Efector desactivado, Exitoso
2024-10-20 20:35:34, localhost, admin,  Homing, Exitoso
2024-10-20 20:35:38, localhost, admin, Efector activado, Exitoso
2024-10-20 20:35:40, localhost, admin, Efector desactivado, Exitoso
